no,codingdate,url,id,postnum,followernum,followingnum
71,2021-03-01,"https://www.instagram.com/stoneberry_s
/",stoneberry_s,70,"1,165",398
72,2021-03-01,"https://www.instagram.com/eom_0310
/",eom_0310,"1,606","2,352","1,810"
73,2021-03-01,"https://www.instagram.com/zest_0_0
/",zest_0_0,49,58,4
74,2021-03-01,"https://www.instagram.com/blessgarden13
/",blessgarden13,856,"1,088","2,500"
75,2021-03-01,"https://www.instagram.com/redchoko
/",redchoko,"2,741","3,363","1,909"
76,2021-03-01,"https://www.instagram.com/yuna131
/",yuna131,"3,837","1,220",506
77,2021-03-01,"https://www.instagram.com/love_skin_shoes
/",love_skin_shoes,464,681,281
78,2021-03-01,"https://www.instagram.com/vintage_pogeun
/",vintage_pogeun,64,324,986
79,2021-03-01,"https://www.instagram.com/goldhand.works
/",goldhand.works,129,309,352
80,2021-03-01,"https://www.instagram.com/gaeun._.12
/",gaeun._.12,6,306,36
81,2021-03-01,"https://www.instagram.com/lohaamade
/",lohaamade,488,"6,115","1,081"
82,2021-03-01,"https://www.instagram.com/saintvine_official
/",saintvine_official,115,"3,316",5
83,2021-03-01,"https://www.instagram.com/marijeli_
/",marijeli_,70,693,203
84,2021-03-01,"https://www.instagram.com/s_im__
/",s_im__,"2,802","1,875",177
85,2021-03-01,"https://www.instagram.com/damso21
/",damso21,693,"1,193",523
86,2021-03-01,"https://www.instagram.com/losdos_losdos
/",losdos_losdos,660,"2,334",1
87,2021-03-01,"https://www.instagram.com/moashop_kor
/",moashop_kor,700,"2,051","3,944"
88,2021-03-01,"https://www.instagram.com/lunalux_xx
/",lunalux_xx,8,11,3
89,2021-03-01,"https://www.instagram.com/loveyomi_90
/",loveyomi_90,647,454,176
90,2021-03-01,"https://www.instagram.com/yun__97z
/",yun__97z,203,"3,177",319
91,2021-03-01,"https://www.instagram.com/laputa_office
/",laputa_office,122,113,113
92,2021-03-01,"https://www.instagram.com/jakkaya_
/",jakkaya_,13,54,45
93,2021-03-01,"https://www.instagram.com/yeinssong
/",yeinssong,"8,958","71,121",450
94,2021-03-01,"https://www.instagram.com/sigolzip_janggane
/",sigolzip_janggane,36,112,103
95,2021-03-01,"https://www.instagram.com/enu_mall
/",enu_mall,52,277,8
96,2021-03-01,"https://www.instagram.com/plata_arte
/",plata_arte,137,928,0
97,2021-03-01,"https://www.instagram.com/__0_jy
/",__0_jy,13,"2,033",96
98,2021-03-01,"https://www.instagram.com/youil.coupang
/",youil.coupang,22,25,6
99,2021-03-01,"https://www.instagram.com/hearts_a_lot
/",hearts_a_lot,114,"1,661",2
100,2021-03-01,"https://www.instagram.com/bottari_dessert
/",bottari_dessert,"1,120","3,092",784
101,2021-03-01,"https://www.instagram.com/ny_love_mj
/",ny_love_mj,830,774,"2,955"
102,2021-03-01,"https://www.instagram.com/da._.eun310
/",da._.eun310,416,"1,526",758
103,2021-03-01,"https://www.instagram.com/a.dorable_kr
/",a.dorable_kr,"1,015","29,298",1
104,2021-03-01,"https://www.instagram.com/h_our_studio
/",h_our_studio,444,"1,475",518
105,2021-03-01,"https://www.instagram.com/biin.kr
/",biin.kr,218,"2,201",0
106,2021-03-01,"https://www.instagram.com/luke__acc
/",luke__acc,455,"2,637",778
107,2021-03-01,"https://www.instagram.com/yummy.pig.s
/",yummy.pig.s,38,"1,961","1,941"
108,2021-03-01,"https://www.instagram.com/shopclover_sj
/",shopclover_sj,392,818,273
109,2021-03-01,"https://www.instagram.com/_jollymine_
/",_jollymine_,77,372,56
110,2021-03-01,"https://www.instagram.com/o_vmorning
/",o_vmorning,970,"2,653",133
111,2021-03-01,"https://www.instagram.com/oui.pr
/",oui.pr,"4,975","2,701",85
112,2021-03-01,"https://www.instagram.com/yoonique_acc
/",yoonique_acc,636,"1,475",32
113,2021-03-01,"https://www.instagram.com/925delicate
/",925delicate,89,847,648
114,2021-03-01,"https://www.instagram.com/bbibbine_store
/",bbibbine_store,14,65,50
115,2021-03-01,"https://www.instagram.com/jiny3132
/",jiny3132,"3,425","2,990","1,333"
116,2021-03-01,"https://www.instagram.com/158_s.g
/",158_s.g,78,"2,072","1,365"
117,2021-03-01,"https://www.instagram.com/b27studio
/",b27studio,162,19,39
118,2021-03-01,"https://www.instagram.com/msbtq_84
/",msbtq_84,387,321,141
119,2021-03-01,"https://www.instagram.com/mesuga_official
/",mesuga_official,678,189,1
120,2021-03-01,"https://www.instagram.com/lumeli._store
/",lumeli._store,66,604,457
121,2021-03-01,"https://www.instagram.com/bodabom_official
/",bodabom_official,222,972,1
122,2021-03-01,"https://www.instagram.com/jhelen_official_korea
/",jhelen_official_korea,202,298,2
123,2021-03-01,"https://www.instagram.com/sandara.bleu
/",sandara.bleu,304,151,10
124,2021-03-01,"https://www.instagram.com/3rdhand_jewelry_studio
/",3rdhand_jewelry_studio,112,465,985
125,2021-03-01,"https://www.instagram.com/daolflower_online
/",daolflower_online,82,50,6
126,2021-03-01,"https://www.instagram.com/luvpigi_official
/",luvpigi_official,33,312,274
127,2021-03-01,"https://www.instagram.com/dear_my_blu2
/",dear_my_blu2,63,55,0
128,2021-03-01,"https://www.instagram.com/monello.4029
/",monello.4029,431,252,75
129,2021-03-01,"https://www.instagram.com/miwon_life
/",miwon_life,"2,107","2,796","1,128"
130,2021-03-01,"https://www.instagram.com/omy_market
/",omy_market,95,391,2
131,2021-03-01,"https://www.instagram.com/prelonda
/",prelonda,"1,102","5,462","7,381"
132,2021-03-01,"https://www.instagram.com/misodama_
/",misodama_,"1,181",734,412
133,2021-03-01,"https://www.instagram.com/seni._.16
/",seni._.16,616,"51,983",563
134,2021-03-01,"https://www.instagram.com/yourpaper1
/",yourpaper1,504,647,349
135,2021-03-01,"https://www.instagram.com/_heylis_
/",_heylis_,"1,798",522,429
136,2021-03-01,"https://www.instagram.com/onna.hair
/",onna.hair,14,51,30
137,2021-03-01,"https://www.instagram.com/po__in
/",po__in,112,"91,048",447
138,2021-03-01,"https://www.instagram.com/mr.vintagezz
/",mr.vintagezz,"31,922","18,042",5
139,2021-03-01,"https://www.instagram.com/lebame_
/",lebame_,258,"3,038",121
140,2021-03-01,"https://www.instagram.com/srap_aha
/",srap_aha,127,762,91
141,2021-03-01,"https://www.instagram.com/hare104
/",hare104,"1,903",890,573
142,2021-03-01,"https://www.instagram.com/arimaruru
/",arimaruru,30,"2,461",72
143,2021-03-01,"https://www.instagram.com/mintstore00
/",mintstore00,44,68,38
144,2021-03-01,"https://www.instagram.com/jjeung._.o
/",jjeung._.o,182,"4,185","3,613"
145,2021-03-01,"https://www.instagram.com/april_flola
/",april_flola,784,102,40
146,2021-03-01,"https://www.instagram.com/decent_piercing
/",decent_piercing,"7,064","1,962",460
147,2021-03-01,"https://www.instagram.com/my_ilwall_11
/",my_ilwall_11,76,85,28
148,2021-03-01,"https://www.instagram.com/love__soso
/",love__soso,559,"6,813","1,122"
149,2021-03-01,"https://www.instagram.com/3sea_3sea
/",3sea_3sea,76,245,436
150,2021-03-01,"https://www.instagram.com/radiant_._
/",radiant_._,0,0,0
151,2021-03-01,"https://www.instagram.com/mamonaku.kr
/",mamonaku.kr,19,109,16
152,2021-03-01,"https://www.instagram.com/ototo_vintage
/",ototo_vintage,668,"2,547",388
153,2021-03-01,"https://www.instagram.com/bok_place
/",bok_place,"1,300","1,272",4
154,2021-03-01,"https://www.instagram.com/chopamang
/",chopamang,278,"1,483","1,145"
155,2021-03-01,"https://www.instagram.com/inurpet_official
/",inurpet_official,92,"1,293",616
156,2021-03-01,"https://www.instagram.com/able_ravo
/",able_ravo,31,189,41
157,2021-03-01,"https://www.instagram.com/fabric.if
/",fabric.if,56,518,566
158,2021-03-01,"https://www.instagram.com/polobox.official
/",polobox.official,639,"2,583","6,713"
159,2021-03-01,"https://www.instagram.com/mutjjoo
/",mutjjoo,"1,524",530,722
160,2021-03-01,"https://www.instagram.com/remember_company
/",remember_company,65,38,39
161,2021-03-01,"https://www.instagram.com/fluffy_mark_
/",fluffy_mark_,14,144,28
162,2021-03-01,"https://www.instagram.com/drawingkitchen_n
/",drawingkitchen_n,323,411,80
163,2021-03-01,"https://www.instagram.com/m.case.2
/",m.case.2,"3,013",293,163
164,2021-03-01,"https://www.instagram.com/som_x._.x
/",som_x._.x,369,368,249
165,2021-03-01,"https://www.instagram.com/carino_35
/",carino_35,394,"1,627","1,371"
166,2021-03-01,"https://www.instagram.com/petitmade
/",petitmade,472,712,80
167,2021-03-01,"https://www.instagram.com/oui.oui.shop
/",oui.oui.shop,116,94,0
